Marca temporal,Barrio,Descripción de los daños o asistencia solicitada,categorias
3/4/2017 14:30:18,Saavedra,Pluvial totalmente tapado de barro. Solicito que sea destapado para evitar inundación de viviendas u otro tipo de daños. Red de Cloaca rota: reparar. Sin agua potable: solicito suministro de agua potable.,cloacales - servicios publicos
3/4/2017 14:30:19,Pueyrredon,"Techo, se llovió todo el techo, y nos levanto los machimbres, los pudrió, producto de eso se estropeó todo el durlock, y la pintura de las paredes se salto toda.",filtraciones - edilicio
3/4/2017 14:31:54,Extenciones Estella Maris,Perdi las piesas d Los chikos y Mia,edilicio - mobiliario
3/4/2017 14:32:15,Pueyrredon,Perdida totaal. Un metro de barro adentro de la casa,inundacion con barro - ....
4/3/2017 14:32:44,Bella vista sur,Necesito un muro de contension se cayo todo el cerro arriba las habitación de mi hijo la cual sufrimos inundacion,desmoronamiento
4/3/2017 14:32:54,Juan XXIII,"Casi medio metro de barro en todo el jardín de la casa y calle. Adentro de la casa 30 cm de agua mezclada con la cloaca que se tapó con barro. Se perdieron los muebles de madera que no se pudieron levantar, al igual que la heladera, el sommier y la ropa que estaba en la parte inferior de los armarios. ",inundacion con barro - cloacales - mobiliario - electrodomesticos
4/3/2017 14:33:05,Stella Maris,Perdida completa de todo..ella en silla de rueda..no tiene cama ni frazadas nada para calentarse..casa.destruida ,perdida total
4/3/2017 14:33:24,Standart norte ,Colchón de 1 plaza y frazadas. Leña. Chapas y tirantes para el techo,mobiliario - edilicio
4/3/2017 14:33:37,Cordon Forestal,Se me inundo la pieza y la cocina un poco,edilicio - inundación con agua
4/3/2017 14:33:42,Diadema Argentina,"Grietas por fuera y por dentro...goteras en el techo con roturas de durlok, humedad,rajaduras en el techo,y detalles en las paredes de la misma lluvia.",edilicio - filtraciones
4/3/2017 14:33:44,Gobernador fontana km 8,Techo,desplome
4/3/2017 14:34:09,Máximo abasolo,Filtración de techo y paredes casa de chapa entro agua de calle y baño dañando  varios muebles colchones etc .Vive hombre adulto de 60 años que utiliza pañales lo cuáles se arruinaron con el agua el hombre es insulina dependiente y sufre diferentes afecciones ,filtraciones - inundación con agua - edilicio - mobiliario
4/3/2017 14:35:10,San cayetano,Caída del techo en piezas y cocina agua dentro de casa 50 cm de agua en las piezas. Perdida de ropa y colchones ,desplome - inundación con agua - mobiliario
4/3/2017 14:35:39,Juan XXIII,Paredes y ventanas techo dañados...muebles húmedos pasados d agua,edilicio - mobiliario
4/3/2017 14:35:50,Stella Maris,Daño total..dormitorio(cama colchones roperos)termotanque cocina y electrodomésticos varios.,edilicio - electrodomesticos - mobiliario
4/3/2017 14:36:12,Cerro Solo,"Separación de pared.Necesito me reparen techo .Se está por caeEr la pared.hay una abertura importante de donde ingresa mucha  agua ,vivo con mis 4 hijos con muchas necesidades",edilicio - peligro desmoronamiento - inundacion con agua
4/3/2017 14:36:24,Juan XXIII ,"Daños parciales.de.casa., muebles,electrodomésticos y vehiculo ",edilicio - mobiliario - electrodomésticos - vehículo
4/3/2017 14:36:30,Resting Ali,"Con EL caudal de rotura del puente de km 8:y caleta Córdoba llego toda esa cantidad de agua tapando toda esa cuadra marazzo .entrando en todos las casas de vecinos y perdiendo en su mayoría el 90:% de los muebles y electrodomésticos yo  perdí placares .cillas y mesa colchones. Cillon .heladera .lavar ropa televisor .pley de mis hijos bicicleta que llevo el agua .y toda la ropa que se miraron e hinciido acolchado y trazadas 

La donación que tube de vecinal fue 2 colchones que ella tenía guardado .",inundación con agua - mobiliario - electrodomésticos
4/3/2017 14:36:35,Abel Amaya ,Rotura de un paredon de 10 mts por 2. 40 de alto y daño y rasjadura en paredes de la casa y filtraciones de agua por pared.,filtraciones - inmediaciones afectadas - edilicio
4/3/2017 14:36:59,General Mosconi,"Daños en pisos flotantes, paredes y techos",edilicio 
4/3/2017 14:37:22,Pueyrredon,"Inundada la vivienda. Perdida de muebles, pisos. etc. Medio metro de barro en la calle. Necesitamos una maquina en la cuadra.",inundación con agua - edilicio - mobiliario
4/3/2017 14:37:27,Standar Km 8,"Se me callo el techo de la pieza de los chicos mas de 1m de daño. Desde el miercoles, con mucha Agua y barro.",desplome - inundación con agua 
4/3/2017 14:38:01,San Martin,"Perdida del paredon, nicho de gas. Entrada de barro y agua al domicilio. Perdida de electrodomesticos ropa y camas. Cortocircuito en nicho de luz. Se solicito Scpl y Camuzzi",servicios publicos - inundacion con barro - mobiliario - electrodimesticos
4/3/2017 14:38:13,Abel Amaya,Se me mojó la casa perdí casi todo.. Ahora estoy alojada en otro lugar con mi hijo.. Ayuda x favor ,perdida total
4/3/2017 14:38:16,Juan XXIII,Aislamiento por presencia de barro en calle y vereda,aislamiento de vivienda
4/3/2017 14:38:22,Pietrobelli,Inundación con perdidas totales,perdida total
4/3/2017 14:38:23,Gas del estado,Filtración de agua en el techo y caida de durlok del  mismo en comedor y habitación,desplome - filtraciones
4/3/2017 14:38:31,Jose Fuchs,Entrada de agua.colchones (4) par mis hijos.,inundacion con agua - mobiliario
4/3/2017 14:38:35,Cerro Solo,Filtraciones de agua en habitaciónes. Y baño. ,filtraciones
4/3/2017 14:38:37,La floresta,Derrumbe de  paredon  completo si alguien me puede ayudar por favorr,derrumbe
4/3/2017 14:38:53,B°Stella Maris,"Ingresó agua más de un metro y medio dentro de la casa. El auto quedó totalmente sumergido en el agua. También quedo gran parte de una Sprinter bajo agua (herramienta de trabajo). Dentro del hogar todo: electrodomésticos (computadoras,lavarropas, 2 heladeras con dispenser (samsung y philco  o philips,  plancha, tostadora, licuadora, procesadora, microondas, televisores, etc). Los muebles eran de madera. El juego de dormitorio (1 cama dos plazas 1 sommier de dos plazas; 2 camas de 1 plaza: todos con sus correspondientes colchones con resortes; placard, cómoda, mesitas de luz, veladores, secador de cabello, ropa de cama (sábanas, frazadas,cubrecamas, almohadas, etc). 2 modulares, sillones de algarrobo (no los vi bien pero tal vez pueda recuperarlos), mesa de madera, sillas tapizadas con pana, 2 sillones con apollabrazos tapizados con pana, mesa del televisor, mueble con puerta inferior  y una extensión para el microondas, etc. Falta ver si funciona la cocina a gas. En este momento no recuerdo, no me da la cabeza para pensar.",inundacion con agua - mobiliario - electrodomesticos - vehiculo
4/3/2017 14:39:15,Don Bosco,"Colchones mojados , muebles podridos por el barro, humedad techo y paredes",filtraciones - mobiliario
4/3/2017 14:40:03,Lapridra,Daño..pieza de atras con alfombra toda mojada hay que cambiar por piso..holor nauseabundo no apta para usar..,filtraciones - mobiliario
4/3/2017 14:40:04,Standart,Me llovió la casa ...de manera torrencial como llovía afuera ya que el bao es precario ..ingreso toda el agua por ahí..causandome pérdida material.,inundacion con agua - filtraciones - edilicio
4/3/2017 14:40:16,Standard Norte,3COLCHONES MOJADOS. HUMEDAD Y HONGOS EN LAS PAREDES. NO TENEMOS CALEFACCION. TECHO DURLOCK SE ROMPIO.,desplome - mobiliario - filtraciones
4/3/2017 14:40:41,Pueyrredon,"Perdida total de ropa, calzados, muebles, vajilla, placard, fraxadas..etc...",mobiliario
4/3/2017 14:40:58,Pietrobelli ,Peligro de derrumbre  esta por caer la casa evacuada ,derrumbe
4/3/2017 14:41:09,Francisco Pietrobelli,Caida del cerco d la vecina y en concecuencia el techo d mi casa sufrio daños ..goteras e inundacion d toda mi casa,desplome - inundacion con agua - derrumbe
4/3/2017 14:41:54,Prospero Palazzo,Columna de cemento frente al domicilio zocabada e inclinada con riesgo de caerse peligro potencial la scpl luego de 48 hs no da respuesta ,servicios publicos - peligro desmoronamiento
4/3/2017 14:42:03,Gobernador fontana km8,Casa 92. Dormitorios inundados cambio de alfombras,inundacion con agua - mobiliario
4/3/2017 14:42:13,Castelli,Entró agua abundante se volaron chapas del techo se inundaron habitaciónes tengo toda la ropa húmeda ,inundación con agua desplome
4/3/2017 14:42:42,Pueyrredon,"Perdida total de ropa, calzado, muebles, etc...",mobiliario
4/3/2017 14:43:00,Juan XXIII,"Habitaciones,muebles, electrodomesticos,rotura de techo. Perdida casi total. Estamos desempleados. ",edilicio - desplome - mobiliario - electrodomesticos
4/3/2017 14:43:41,Los Arenales ,"estamos sin luz,  sin calefacción,  sin leña y las calles están destrozadas ",servicios publicos - aislamiento vivienda
4/3/2017 14:44:17,Pueyrredon,No me quedo nada ni cocina ni heladera ni cama ni lavarropas ni tele ni plcard ni mesa ni sillas nada..ni ropa ni zapatos nada se lleno de agua un metro y medio.,inundacion con agua - mobiliario - electrodomesticos - vehiculo
4/3/2017 14:44:25,Sismografica,Inundada parte de la cocina . techo levantado con varias roturas. Puerta humedica no se puede cerrar y paredes despintadas. ,inundacion con agua - edilicio - desplome
4/3/2017 14:44:34,Eva Peron Maximo Abasolo,Inundacion de casa interior y exterior  de un nivel medio,inundacion con agua - inmediaciones afectadas
4/3/2017 14:44:51,San Cayetano,Sin vereda se cayó el cordón cuenta en la parte de entrada y salida del vehículo toda la cuadra de Francisco Behr afectada por lo mismo rotura de caños de gas agua y cloaca. Poste de luz apunto de caer. ,cloacales - servicios publicos - derrumbe
4/3/2017 14:45:21,general mosconi,se me mojaron integra y se me rompieron 50 placas de super boack q tenia para revestir mi casa q estoy contruyendo en seco ,edilicio
4/3/2017 14:45:24,Laprida,Frazadas. Colchones... Maquina para sacr el barro.. Agua.,mobiliario - inmediaciones afectadas
4/3/2017 14:46:43,Pueyrredon,Perdida total son dos abuelos de 80 y 84 años.,perdida total
4/3/2017 14:46:51,Laprida ,"En calle La Habana hubo destrozos de cañerías de agua, cloacas y gas. Los postes de luz están a punto de caerse en las grietas causadas por la lluvia que ocupan gran parte de la calle, hay un árbol caído que solo está sostenido por los cables de los postes  y cuando finalmente caiga nos vamos a quedar sin luz. Hay considerables pérdidas de gas que es urgente reparar. Estamos aislados, no podemos salir de nuestras casas si no es caminando y saltando entre las grietas. Somos muchos los vecinos adultos mayores que no podemos salir porque no podemos bajar de nuestras casas, tenemos un vecino discapacitado que necesita ayuda, no tenemos agua desde el jueves 30 de Marzo. Espero puedan ayudarnos. ",servicios publicos - cloacales - derrumbe - aislamiento vivienda
4/3/2017 14:46:55,juan XXIII ,"Heladera gafa, somier 2 plaza s, sillas (6 ) sillón reclinable 3cuerpos, mueble bajo ventana, mueble bajo mesada, labarropa,  chifonier, mueble de baño con lavamanos, astra 2008( 2.0 gl) cocina, escritorio de computadora, pistola de calor handy work, estéreo nuevo stromber, ropa, cosas de cocina, ( tengo fotos y vídeos de todo! No me quedo nada ! ",mobiliario - electrodomesticos
4/3/2017 14:47:09,Belgrano Viejo,Solicito un contenedor para sacar todas las cosas que fueron afectadas.por favor.muchas gracias,
4/3/2017 14:47:53,Stella Marys,Techo y frente.,desplome - edilicio
4/3/2017 14:48:22,Standart norte,Colchon de 1 plaza y frazadas. Leña chapas y tirantes,edilicio - mobiliario
4/3/2017 14:48:33,San Martin,Vivo justo en una esquina pensamientos y pjs peatonal solicito muro de contencion  ya q cada ves q llueve todo lo q cae del cerro viene a mi patio tenemos q aser zanjas a la calle para q no entre a la casa 2 veses perdi todo esta vez no porque zanjeamos antes,inmediaciones afectadas
4/3/2017 14:48:52,General mosconi km 3,"Perdida de cama y colchón ropa de abrigo, televisor lavaropa.",mobiliario - electrodomesticos
4/3/2017 14:49:02,San Martin,Necesitaría se inunda el patio trasero tengo la casa en parte baja necesitaría chapas y tirantes ,edilicio - inmediaciones afectadas
4/3/2017 14:49:36,Roca,No hubieron muchos daños en ls vivienda solo entro agua,inundacion con agua
4/3/2017 14:49:44,Pietrobelli,Caida de paredon,derrumbe
4/3/2017 14:50:24,fraccion 14,"Tengo el techo dañado, perdi las camas , heladera, lavarropa, placard, todas mis paredes estan mojadas tengo humedad por todos lados ",desplome - electrodomesticos - mobiliario - filtraciones
4/3/2017 14:51:11,Pueyrredon,Perdida 3 camas de 1 plaza, 1 cama 2 plaza
4/3/2017 14:51:50,Standart,Se cayó el durlock del baño goteo por el techo a las habitaciones de las nenas y pasillo. Entro agua por la conexión del calefactor. Y corto en la otra habitacion,desplome - filtraciones
4/3/2017 14:52:44,Pietrobelli,Derrumbe de mis cerco cayo todo detras de la casa de los vecinos. ..la casa esta casi en el aire ,derrumbe - peligro desmoronamiento
4/3/2017 14:52:58,Standard Norte,"Mi terreno es ahora parte de un rio, la corriente se llevo casi tres metros de profundidad de todo el terreno incluyendo postes, porton, chapas alambrado, 7 zapatas de cemento, arboles, no quedo nada no sabemos que hacer estabamos construyendo nuestra casa. Tengo fotos para comprobar todo.",derrumbe - peligro desmoronamiento
4/3/2017 14:53:18,San Martin,Se gotio toda la casa se quemo el tele entro agua x la ventana,filtraciones - inundacion con agua - electrodomesticos
4/3/2017 14:53:20,Acceso Sur,"Seme yueve toda la casa 
",filtraciones 
4/3/2017 14:53:27,San Martin,Dentro agua por la pieza cocina quemo heladera mojo toda la ropa zapato ,inundacion con agua - electrodomesticos - mobiliario
4/3/2017 14:53:37,Laprida,Barro y agua casi un metro..autovacuados...discapacidad menal...de la persona y su padre discapacidad tambien  se maneja en silla de ruedas...la Sra en casa de su hija...,inundacion con barro
4/3/2017 14:53:38,San Cayetano,"Filtro agua en las paredes, puerta,ventana,goteras de techo,necesito alguna ayuda para poder arreglar nuevamente mi casa",filtraciones - inundacion con agua
4/3/2017 14:53:42,San Martin,Se me cayo el techo de la pieza y lo tuvieron q apuntalar los de defensa civil y me entro agua x todos lados  ,desplome - inundacion con agua
4/3/2017 14:53:53,Roca,El Durlok del techo se doblo por el trmporal de lluvia 2 paneles ,desplome
4/3/2017 14:54:03,Ameghino nuevo km3,Deslizamiento de suelo y caida de paredón ,derrumbe
4/3/2017 14:54:07,Las Flores,"Paredón que cedió peligro derrumbe..Es un terreno q va cediendo, se partió.",peligro desmoronamiento
4/3/2017 14:55:01,Isidro Quiroga,Pérdida de colchones paredes filtradas de agua entretengo inundado corte de corriente.televisores quemados.techos con goteras,filtraciones - electrodomesticos - mobiliario - servicios publicos
4/3/2017 14:55:35,Standard Norte,Caida cielorraso baño. Necesidad una placa de Dulok y masiilla ,desplome
4/3/2017 14:55:56,Standard Norte,"Mi terreno es ahora parte de un rio, la corriente se llevo casi tres metros de profundidad de todo el terreno incluyendo postes, porton, chapas alambrado, 7 zapatas de cemento, arboles, no quedo nada no sabemos que hacer estabamos construyendo nuestra casa. Tengo fotos para comprobar todo. Mi celular es 0297-15-4579459 / fijo: 0297-4475576 / 0297-15-4179224",derrumbe - peligro desmoronamiento
